RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,label
776.04395,799.011,800.2198,792.96704,Positive
822.7839,797.3993,797.3993,810.293,Positive
790.14655,787.326,797.3993,794.17584,Positive
827.2161,798.60803,801.8315,825.2015,Positive
782.0879,804.2491,799.81683,793.7729,Positive
792.96704,790.9524,795.78754,796.1905,Positive
801.02563,805.8608,809.0842,809.4872,Positive
735.34796,801.8315,792.5641,740.989,Positive
808.2784,810.293,809.0842,808.68134,Positive
840.5128,804.65204,810.293,835.6777,Neutral
815.12823,795.38464,817.1429,824.3956,Neutral
827.2161,802.6374,812.3077,843.3333,Neutral
840.9158,792.1612,828.022,836.4835,Neutral
827.2161,805.8608,819.15753,841.7216,Neutral
822.381,796.99634,818.3516,837.6923,Neutral
838.0952,796.99634,808.2784,835.2747,Neutral
825.2015,800.2198,816.7399,818.3516,Neutral
829.2308,794.9817,810.293,815.5311,Neutral
826.4103,801.4286,808.68134,832.4542,Neutral
826.4103,801.02563,814.7253,832.0513,Neutral
815.12823,799.011,815.12823,826.0073,Neutral
838.49817,802.23444,789.34064,827.2161,Neutral
810.293,787.326,808.2784,813.1135,Neutral
824.7985,798.60803,815.12823,821.5751,Neutral
811.50183,803.44324,820.7692,810.696,Neutral
812.71063,803.8461,806.6667,794.17584,Neutral
808.2784,799.011,803.44324,811.9048,Neutral
798.20514,794.17584,804.2491,810.293,Neutral
841.7216,789.7436,803.44324,825.6044,Neutral
811.0989,805.8608,806.26373,814.7253,Neutral
835.2747,804.65204,798.60803,840.10986,Neutral
804.65204,799.011,815.12823,819.15753,Neutral
810.293,798.60803,819.5604,815.5311,Neutral
829.6337,796.1905,814.7253,817.1429,Neutral
806.6667,799.81683,812.3077,817.9487,Neutral
827.619,796.5934,815.5311,809.89014,Neutral
825.6044,792.5641,817.5458,838.0952,Neutral
807.47253,794.57874,810.293,806.26373,Neutral
827.619,800.2198,810.293,813.5165,Neutral
796.99634,787.72894,802.6374,817.5458,Neutral
826.4103,803.8461,807.47253,817.9487,Neutral
811.50183,805.8608,817.9487,815.5311,Neutral
870.32965,797.8022,805.4579,871.53845,Positive
902.1612,850.18317,846.1539,885.2381,Positive
813.5165,858.6447,862.27106,818.7546,Positive
675.31134,703.91943,684.9817,672.0879,Positive
904.17584,849.7802,842.9304,890.4762,Positive
892.0879,848.97437,859.45056,904.17584,Positive
900.9524,832.0513,825.6044,891.685,Positive
797.3993,780.07324,777.6557,808.68134,Positive
826.0073,796.5934,800.2198,813.5165,Positive
864.68866,832.4542,831.6484,857.4359,Positive
882.01465,828.8278,810.293,873.1502,Positive
803.44324,774.83514,782.49084,809.4872,Positive
814.3223,836.08057,828.4249,805.8608,Positive
842.1245,841.7216,838.0952,830.84247,Positive
900.54944,854.21246,851.79486,886.4469,Positive
859.85345,880.80585,875.16486,869.5238,Positive
852.6007,808.2784,816.7399,852.6007,Positive
768.7912,791.3553,798.20514,783.69965,Positive
786.9231,825.6044,810.696,790.9524,Positive
792.5641,832.8571,824.7985,806.26373,Positive
871.53845,828.022,832.8571,863.47986,Positive
898.93774,877.1795,887.6557,897.326,Positive
838.0952,807.47253,807.8755,842.9304,Positive
850.58606,812.71063,805.8608,837.6923,Positive
768.3883,784.10254,791.75824,781.28204,Positive
837.28937,823.1868,810.293,829.6337,Positive
841.7216,833.663,819.9634,836.08057,Positive
915.4579,783.2967,757.9121,899.7436,Positive
815.5311,816.337,789.34064,806.26373,Positive
810.696,829.6337,832.0513,806.6667,Positive
806.26373,794.57874,799.81683,813.1135,Positive
796.1905,799.011,812.3077,795.78754,Positive
862.674,828.8278,822.7839,859.0476,Positive
771.6117,812.71063,805.4579,786.52014,Positive
747.8388,777.25275,790.54944,770.0,Positive
790.9524,808.68134,802.23444,810.696,Positive
774.0293,783.69965,791.3553,795.38464,Positive
859.0476,827.619,830.4396,859.45056,Positive
803.8461,770.0,776.04395,802.23444,Positive
826.0073,797.8022,807.8755,831.2454,Positive
857.4359,823.9927,822.381,845.34796,Positive
903.36993,851.79486,853.8095,898.93774,Positive
888.86444,834.0659,838.49817,870.32965,Positive
855.82416,836.4835,832.4542,846.9597,Positive
854.21246,867.9121,859.45056,858.24176,Positive
840.10986,804.65204,802.6374,826.8132,Positive
822.7839,798.60803,795.78754,834.87177,Positive
813.91943,800.6227,793.7729,805.05493,Positive
866.30035,829.6337,836.8865,871.9414,Positive
793.7729,790.14655,787.72894,793.36993,Positive
817.1429,830.4396,830.84247,823.5897,Positive
782.49084,802.23444,823.1868,789.7436,Positive
808.68134,796.5934,796.99634,805.8608,Positive
840.9158,798.20514,804.65204,840.10986,Positive
808.68134,835.2747,835.6777,823.9927,Positive
829.2308,801.02563,801.4286,827.619,Positive
819.15753,813.1135,816.337,817.5458,Positive
863.8828,842.9304,832.8571,865.4945,Positive
777.6557,759.92676,766.3736,783.2967,Positive
803.44324,799.41394,808.2784,809.0842,Positive
859.85345,851.39197,842.52747,853.4066,Positive
865.09155,834.87177,834.0659,849.7802,Positive
847.3626,815.5311,824.3956,858.24176,Positive
828.4249,843.73627,845.34796,831.6484,Positive
871.53845,840.10986,844.5421,859.0476,Positive
796.5934,821.5751,819.15753,812.3077,Positive
820.3663,818.3516,822.7839,821.978,Positive
805.8608,826.8132,824.3956,810.696,Positive
787.72894,788.1319,792.96704,781.28204,Positive
813.91943,791.75824,792.1612,825.6044,Positive
838.9011,823.5897,809.4872,842.1245,Positive
819.9634,809.89014,807.0696,827.2161,Positive
848.5714,819.9634,822.7839,846.55676,Positive
811.0989,806.6667,799.011,805.4579,Positive
848.97437,807.8755,823.9927,844.5421,Positive
859.0476,832.4542,821.1722,853.8095,Positive
841.31866,828.022,833.663,835.2747,Positive
821.1722,802.23444,809.0842,831.2454,Positive
792.5641,795.78754,811.0989,809.89014,Positive
846.9597,818.7546,830.4396,873.5531,Positive
843.3333,830.4396,823.1868,834.0659,Positive
809.0842,797.3993,794.9817,830.4396,Positive
812.3077,809.0842,802.23444,808.2784,Positive
827.2161,802.6374,798.60803,834.4689,Positive
816.7399,835.2747,835.6777,820.3663,Positive
795.78754,796.5934,813.1135,809.0842,Positive
790.9524,791.75824,790.9524,796.5934,Positive
836.08057,809.89014,807.47253,845.34796,Positive
811.50183,826.8132,844.1392,819.15753,Positive
818.3516,811.50183,815.9341,832.0513,Positive
799.011,807.47253,802.6374,809.89014,Positive
818.3516,791.3553,793.7729,809.89014,Positive
833.2601,813.91943,826.8132,840.10986,Positive
768.3883,786.52014,794.57874,790.9524,Positive
843.3333,817.1429,813.1135,831.2454,Positive
794.9817,829.2308,821.1722,800.6227,Positive
810.293,826.4103,826.8132,827.619,Positive
873.95605,811.50183,795.78754,862.27106,Positive
828.8278,830.4396,830.0366,819.15753,Positive
813.1135,816.7399,809.4872,805.4579,Positive
804.65204,810.696,813.5165,805.4579,Positive
812.71063,809.0842,822.7839,809.4872,Positive
826.4103,818.3516,814.3223,837.28937,Positive
835.6777,798.60803,801.4286,829.6337,Positive
853.00366,822.7839,815.9341,856.2271,Positive
807.0696,797.8022,803.8461,828.8278,Positive
778.0586,758.315,762.74725,782.0879,Positive
824.7985,823.9927,809.4872,842.1245,Positive
821.5751,822.381,810.293,822.7839,Positive
795.38464,807.8755,813.91943,794.17584,Positive
850.58606,830.4396,826.4103,840.9158,Positive
826.8132,817.1429,814.3223,830.4396,Positive
810.696,812.3077,813.91943,815.9341,Positive
823.1868,832.8571,828.022,827.619,Positive
782.8938,801.8315,791.3553,791.75824,Positive
829.2308,813.1135,823.1868,832.0513,Positive
844.5421,836.4835,840.9158,862.27106,Positive
809.4872,816.7399,820.7692,821.978,Positive
831.6484,798.20514,796.5934,828.8278,Positive
836.08057,815.5311,809.4872,833.663,Positive
818.3516,812.3077,821.1722,819.5604,Positive
842.9304,815.12823,809.4872,843.73627,Positive
811.0989,816.7399,805.4579,811.50183,Positive
799.81683,807.8755,805.05493,815.12823,Positive
842.1245,814.7253,824.3956,850.18317,Positive
803.8461,844.1392,805.05493,792.1612,Positive
857.8388,825.2015,831.2454,857.4359,Positive
839.304,832.8571,823.5897,833.2601,Positive
854.21246,817.1429,833.2601,850.18317,Positive
798.20514,812.3077,813.5165,806.6667,Positive
841.31866,807.0696,813.91943,836.8865,Positive
825.2015,811.50183,825.2015,821.5751,Positive
840.9158,813.91943,816.337,831.2454,Positive
828.8278,800.2198,805.8608,850.58606,Positive
827.2161,824.7985,830.84247,821.5751,Positive
792.5641,799.81683,801.8315,798.60803,Positive
798.20514,800.6227,808.2784,816.7399,Positive
835.6777,825.6044,813.91943,833.2601,Positive
790.54944,805.05493,799.81683,790.54944,Positive
810.696,820.7692,811.9048,816.7399,Positive
796.5934,805.8608,798.60803,804.65204,Positive
806.26373,798.20514,808.68134,806.6667,Positive
821.1722,823.5897,824.7985,827.2161,Positive
819.5604,814.7253,814.7253,805.05493,Positive
815.5311,825.6044,819.5604,813.5165,Positive
828.022,819.15753,817.1429,817.1429,Positive
838.49817,812.71063,803.44324,836.8865,Positive
838.49817,803.8461,799.011,848.5714,Positive
895.31134,812.71063,815.12823,876.3736,Positive
804.65204,805.05493,805.05493,817.9487,Positive
851.79486,809.0842,817.5458,853.4066,Positive
853.4066,810.293,814.7253,861.8681,Positive
828.8278,791.75824,816.7399,842.1245,Positive
801.02563,803.44324,792.1612,813.1135,Positive
830.84247,819.5604,823.1868,830.4396,Positive
837.6923,817.1429,809.4872,834.87177,Positive
804.65204,809.89014,793.36993,808.68134,Positive
860.65936,834.87177,824.3956,855.0183,Positive
861.4652,822.381,838.0952,877.5824,Positive
849.7802,819.9634,826.8132,860.2564,Positive
860.2564,811.50183,840.5128,874.7619,Positive
796.5934,824.3956,819.15753,798.60803,Positive
857.03296,837.6923,827.2161,828.4249,Positive
848.97437,842.1245,825.2015,855.0183,Positive
825.6044,811.50183,802.6374,833.2601,Positive
850.989,808.68134,802.6374,850.18317,Positive
837.28937,813.5165,809.89014,827.2161,Positive
828.4249,808.68134,816.7399,837.28937,Positive
846.55676,807.0696,819.5604,842.52747,Positive
851.79486,817.9487,819.9634,850.18317,Positive
860.2564,820.7692,838.9011,867.1062,Positive
815.5311,802.23444,812.3077,816.7399,Positive
841.7216,790.14655,806.6667,832.8571,Positive
845.7509,826.4103,821.1722,836.4835,Positive
797.8022,805.05493,814.7253,805.05493,Positive
814.3223,808.68134,811.0989,804.65204,Positive
830.84247,843.3333,819.9634,832.4542,Positive
796.5934,813.1135,821.5751,808.68134,Positive
836.8865,811.50183,810.696,840.9158,Positive
830.84247,828.022,826.0073,834.87177,Positive
838.49817,814.7253,812.3077,844.5421,Positive
852.1978,815.9341,825.6044,857.4359,Positive
806.26373,829.2308,826.0073,815.5311,Positive
726.08057,810.293,817.9487,740.18317,Positive
848.97437,814.7253,804.65204,856.63007,Positive
797.8022,801.02563,798.60803,789.7436,Positive
856.63007,830.0366,821.978,853.8095,Positive
812.3077,811.9048,815.12823,825.2015,Positive
884.0293,815.9341,811.9048,890.07324,Positive
820.7692,835.2747,835.6777,836.08057,Positive
847.3626,806.26373,808.2784,846.1539,Positive
803.8461,803.0403,807.0696,814.7253,Positive
808.68134,806.26373,809.0842,810.696,Positive
836.4835,812.71063,819.15753,846.55676,Positive
809.4872,803.8461,805.8608,804.65204,Positive
821.1722,807.0696,789.34064,828.4249,Positive
651.53845,799.011,792.5641,651.13556,Positive
834.4689,808.68134,804.65204,842.52747,Positive
812.3077,804.2491,799.81683,813.5165,Positive
836.4835,813.5165,819.15753,850.18317,Positive
830.84247,810.293,807.8755,829.2308,Positive
850.18317,815.12823,815.5311,847.76556,Positive
826.0073,822.7839,818.3516,831.6484,Positive
825.2015,792.1612,793.36993,818.3516,Positive
772.01465,787.326,784.5055,771.2088,Positive
819.5604,813.5165,806.26373,824.3956,Positive
809.4872,803.0403,801.4286,805.4579,Positive
803.44324,813.1135,804.65204,814.3223,Positive
871.53845,801.02563,790.9524,828.022,Negativ
1014.9817,790.14655,796.99634,843.3333,Negativ
881.2088,782.0879,790.54944,808.2784,Negativ
777.6557,798.20514,788.93774,808.68134,Negativ
910.2198,815.9341,791.3553,835.2747,Negativ
824.7985,784.5055,787.326,847.3626,Negativ
774.43225,796.5934,802.23444,797.3993,Negativ
909.81683,775.64105,774.43225,917.0696,Negativ
928.7546,819.15753,819.15753,842.9304,Negativ
847.76556,811.9048,826.4103,838.0952,Negativ
771.6117,800.6227,796.1905,839.707,Negativ
835.2747,818.3516,805.8608,815.5311,Negativ
790.54944,804.65204,803.0403,836.08057,Negativ
817.5458,798.20514,821.5751,825.2015,Negativ
774.83514,811.0989,818.3516,819.5604,Negativ
753.0769,793.36993,823.5897,793.36993,Negativ
892.49084,815.12823,806.26373,830.84247,Negativ
868.71796,770.40295,753.8828,797.3993,Negativ
811.9048,828.022,815.12823,839.304,Negativ
917.0696,802.23444,811.0989,823.9927,Negativ
762.74725,782.8938,795.38464,792.1612,Negativ
842.52747,830.4396,823.5897,830.4396,Negativ
833.663,817.1429,813.1135,826.0073,Negativ
892.8938,812.71063,800.6227,847.3626,Negativ
818.3516,805.4579,827.619,830.84247,Negativ
806.26373,819.9634,824.3956,826.4103,Negativ
817.5458,819.5604,805.05493,833.663,Negativ
804.2491,816.337,825.2015,838.9011,Negativ
862.674,805.05493,811.50183,837.28937,Negativ
859.85345,832.4542,832.4542,833.2601,Negativ
834.0659,797.3993,815.12823,815.12823,Negativ
846.9597,810.293,818.3516,833.663,Negativ
793.36993,795.38464,814.7253,818.3516,Negativ
790.9524,816.337,817.5458,806.26373,Negativ
766.77655,809.4872,776.4469,786.9231,Negativ
824.7985,812.71063,813.5165,822.7839,Negativ
803.44324,797.8022,792.1612,804.65204,Negativ
826.8132,823.1868,799.81683,819.15753,Negativ
860.65936,821.5751,842.1245,826.8132,Negativ
829.2308,805.8608,813.5165,807.47253,Negativ
775.2381,795.78754,803.0403,812.3077,Negativ
786.1172,792.1612,809.89014,809.0842,Negativ
801.4286,777.6557,811.9048,834.87177,Negativ
817.9487,802.23444,811.0989,821.978,Negativ
841.7216,798.60803,811.50183,820.7692,Negativ
812.3077,812.3077,811.9048,823.9927,Negativ
848.1685,802.6374,827.619,840.10986,Negativ
801.02563,815.5311,814.3223,814.7253,Negativ
834.4689,825.6044,809.4872,826.8132,Negativ
791.75824,803.44324,815.12823,817.9487,Negativ
809.0842,800.6227,818.7546,804.65204,Negativ
839.707,802.6374,812.71063,831.6484,Negativ
836.8865,823.5897,815.9341,839.304,Negativ
818.7546,811.0989,813.1135,811.9048,Negativ
808.2784,800.2198,818.7546,818.7546,Negativ
699.89014,838.9011,827.619,681.75824,Negativ
860.65936,822.381,802.6374,835.2747,Negativ
771.2088,783.69965,793.36993,795.38464,Negativ
851.39197,803.8461,806.6667,827.619,Negativ
835.6777,822.381,815.12823,829.6337,Negativ
803.8461,792.1612,810.293,812.3077,Negativ
830.84247,809.4872,817.5458,822.381,Negativ
848.1685,784.90845,783.2967,831.6484,Negativ
836.4835,805.8608,821.5751,824.3956,Negativ
882.8205,795.78754,801.8315,864.2857,Negativ
826.8132,824.7985,819.5604,821.1722,Negativ
800.2198,829.2308,817.1429,814.7253,Negativ
836.08057,846.9597,827.2161,820.3663,Negativ
837.6923,808.2784,813.91943,826.8132,Negativ
796.99634,807.8755,792.1612,832.8571,Negativ
837.6923,786.1172,803.0403,815.5311,Negativ
819.9634,788.93774,771.6117,788.1319,Negativ
815.12823,822.7839,814.3223,821.978,Negativ
815.9341,826.0073,789.34064,799.011,Negativ
821.1722,830.0366,800.6227,810.293,Negativ
795.38464,819.15753,799.41394,818.7546,Negativ
864.2857,820.3663,828.022,838.9011,Negativ
842.9304,799.41394,837.28937,824.7985,Negativ
803.8461,804.2491,817.9487,827.619,Negativ
840.10986,815.9341,823.5897,842.1245,Negativ
806.26373,796.5934,799.81683,824.3956,Negativ
840.10986,824.3956,827.2161,820.7692,Negativ
827.2161,822.7839,817.1429,819.5604,Negativ
841.31866,815.5311,822.7839,819.9634,Negativ
857.03296,810.696,819.15753,829.2308,Negativ
817.5458,799.011,784.10254,817.9487,Negativ
809.89014,812.3077,804.65204,804.65204,Negativ
803.8461,801.4286,815.9341,825.2015,Negativ
857.03296,802.23444,803.0403,837.28937,Negativ
824.3956,842.1245,829.6337,829.6337,Negativ
846.55676,795.38464,805.4579,819.5604,Negativ
859.85345,819.5604,823.9927,836.4835,Negativ
805.8608,820.7692,816.7399,825.2015,Negativ
850.18317,818.7546,816.7399,833.663,Negativ
842.1245,825.6044,801.4286,819.5604,Negativ
884.83514,790.9524,815.9341,888.86444,Negativ
796.1905,793.7729,981.13556,790.14655,Negativ
805.4579,826.0073,774.0293,825.2015,Negativ
816.7399,811.0989,816.337,820.7692,Negativ
848.5714,836.08057,813.91943,839.304,Negativ
811.0989,824.3956,805.4579,817.1429,Negativ
861.8681,828.4249,815.9341,848.97437,Negativ
864.68866,828.8278,826.0073,840.5128,Negativ
834.0659,802.6374,801.4286,818.3516,Negativ
579.81683,830.4396,832.0513,610.0366,Negativ
826.0073,827.2161,813.91943,839.707,Negativ
829.2308,826.0073,831.6484,846.9597,Negativ
844.1392,811.50183,812.3077,840.10986,Negativ
829.6337,825.2015,809.4872,832.8571,Negativ
831.2454,811.9048,806.26373,837.6923,Negativ
856.63007,804.2491,808.2784,838.0952,Negativ
846.55676,786.1172,801.4286,826.8132,Negativ
846.1539,810.293,815.5311,824.3956,Negativ
850.989,815.5311,819.15753,824.3956,Negativ
